date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-08-08,4.75,4.75,4.58,4.64,2679700.0,12419983.0,308948044.0,0.00867362668915295
2024-08-09,4.67,4.75,4.64,4.67,2166200.0,10173382.0,308948044.0,0.007011534923328403
2024-08-12,4.7,4.72,4.59,4.62,2441650.0,11303461.0,308948044.0,0.007903108782912378
2024-08-13,4.64,4.66,4.5,4.6,1773550.0,8092788.0,308948044.0,0.005740609252732475
2024-08-14,4.6,4.63,4.55,4.55,1228700.0,5634317.0,308948044.0,0.003977044114252428
2024-08-15,4.57,4.63,4.5,4.63,2240400.0,10285954.0,308948044.0,0.007251704755897402
2024-08-16,4.63,4.66,4.48,4.5,2362750.0,10730150.0,308948044.0,0.007647726036420544
2024-08-19,4.59,4.6,4.33,4.38,3596357.0,15914674.0,308948044.0,0.01164065308016645
2024-08-20,4.41,4.41,4.29,4.32,2044400.0,8867984.0,308948044.0,0.006617293877413252
2024-08-21,4.32,4.39,4.25,4.35,1907300.0,8288003.0,308948044.0,0.006173529941493981
2024-08-22,4.36,4.38,4.26,4.27,1336850.0,5764222.0,308948044.0,0.004327102973987432
2024-08-23,4.26,4.3,4.16,4.2,2594100.0,10997665.0,308948044.0,0.008396557448345587
2024-08-26,4.17,4.35,4.17,4.32,2151800.0,9246885.0,308948044.0,0.006964925144500996
2024-08-27,4.31,4.5,4.3,4.47,3612000.0,16035678.0,308948044.0,0.011691286189207917
2024-08-28,4.48,4.78,4.42,4.72,6729937.0,31288274.0,308948044.0,0.021783394103637697
2024-08-29,4.66,4.75,4.59,4.64,4456200.0,20736423.0,308948044.0,0.014423784472964652
2024-08-30,4.6,4.7,4.56,4.63,2989450.0,13818823.0,308948044.0,0.009676222452471652
2024-09-02,4.6,4.65,4.56,4.64,2295550.0,10563889.0,308948044.0,0.007430213735225979
2024-09-03,4.63,4.66,4.53,4.62,1936900.0,8877524.0,308948044.0,0.006269338931305874
2024-09-04,4.6,4.61,4.53,4.58,1267100.0,5786884.0,308948044.0,0.00410133685779218
2024-09-05,4.58,4.8,4.53,4.77,3055300.0,14374980.0,308948044.0,0.009889365086901148
2024-09-06,4.87,5.01,4.72,4.73,3381700.0,16331009.0,308948044.0,0.01094585340698904
2024-09-09,4.72,4.81,4.64,4.75,2512900.0,11925882.0,308948044.0,0.008133730084402152
2024-09-10,4.8,4.92,4.69,4.76,1923800.0,9155476.0,308948044.0,0.006226936979733718
2024-09-11,4.76,4.77,4.63,4.64,2123800.0,9940067.0,308948044.0,0.00687429501900326
2024-09-12,4.66,4.76,4.64,4.68,2175600.0,10245963.0,308948044.0,0.007041960751174072
2024-09-13,4.68,4.79,4.66,4.74,2372257.0,11237524.0,308948044.0,0.007678498200817222
2024-09-18,4.75,5.04,4.7,4.98,6148000.0,30042502.0,308948044.0,0.019899786127145703
2024-09-19,4.99,5.48,4.88,5.42,19691802.0,104001535.0,308948044.0,0.06373823166202017
2024-09-20,5.31,5.54,5.25,5.45,13093102.0,71108003.0,308948044.0,0.04237962419338055
2024-09-23,5.5,5.87,5.44,5.66,11310656.0,63756284.0,308948044.0,0.03661022045506137
2024-09-24,5.7,5.79,5.44,5.55,11893697.0,66330923.0,308948044.0,0.03849740184793013
2024-09-25,5.56,5.83,5.53,5.62,10252650.0,57964857.0,308948044.0,0.03318567700658432
2024-09-26,5.65,5.81,5.6,5.79,7892327.0,44915481.0,308948044.0,0.02554580665997031
2024-09-27,5.93,6.35,5.8,6.15,14855600.0,90635761.0,308948044.0,0.048084460440862994
2024-09-30,6.42,6.77,6.25,6.77,19452091.0,128200050.0,308948044.0,0.06296233744726347
2024-10-08,7.45,7.45,6.9,7.26,26286659.0,189140962.0,308948044.0,0.08508440014593521
2024-10-09,7.26,7.7,6.75,7.16,34131118.0,252154030.0,308948044.0,0.11047526813278676
2024-10-10,7.2,7.43,7.01,7.08,14823451.0,107476535.0,308948044.0,0.04798040087284061
2024-10-11,7.12,7.26,6.38,6.46,24256531.0,160895260.0,308948044.0,0.07851330173820424
2024-10-14,6.46,6.77,6.35,6.73,11276081.0,74196968.0,308948044.0,0.036498308434022644
2024-10-15,6.77,7.12,6.6,6.79,12766300.0,88517063.0,308948044.0,0.04132183468363373
2024-10-16,6.8,6.8,6.51,6.63,8445913.0,55892215.0,308948044.0,0.02733764839760565
2024-10-17,6.83,6.88,6.51,6.56,11107698.0,74223912.0,308948044.0,0.035953287990391034
2024-10-18,6.5,6.68,6.4,6.58,10311600.0,67470813.0,308948044.0,0.03337648578865902
2024-10-21,6.59,6.82,6.53,6.59,8337462.0,55569076.0,308948044.0,0.026986615264021546
2024-10-22,6.55,6.88,6.53,6.79,7277055.0,48669177.0,308948044.0,0.023554300282283062
2024-10-23,6.8,7.04,6.72,6.86,9102750.0,62888308.0,308948044.0,0.02946369195980409
2024-10-24,6.86,6.88,6.75,6.78,4195552.0,28550927.0,308948044.0,0.013580121581867015
2024-10-25,6.82,7.46,6.78,7.29,29720251.0,216704639.0,308948044.0,0.09619821706979313
2024-10-28,7.19,7.41,6.95,7.09,21645100.0,155014134.0,308948044.0,0.07006064747896575
2024-10-29,7.04,7.15,6.91,6.91,10425682.0,73298007.0,308948044.0,0.03374574528783875
2024-10-30,6.86,7.18,6.84,7.02,8106204.0,56643863.0,308948044.0,0.02623808163679457
2024-10-31,6.97,7.02,6.75,6.79,10140751.0,69515656.0,308948044.0,0.032823483420403206
2024-11-01,6.78,6.85,6.51,6.73,10014351.0,66922321.0,308948044.0,0.03241435313958486
2024-11-04,6.75,7.24,6.7,7.12,13169457.0,92820774.0,308948044.0,0.042626769308822685
2024-11-05,7.17,7.83,7.06,7.83,28633215.0,218361161.0,308948044.0,0.09267970960191611
2024-11-06,8.61,8.61,8.01,8.1,58129000.0,487917403.0,308948044.0,0.18815137732349585
